Return_ID,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Return_Date,Return_Reason,Return_Method,Refund_Amount_INR,Refund_Method,Refund_Status,Resolution_Days,Customer_Feedback
RET50024,SN2300389,CUST10040,PRD1022,Samsung Galaxy Watch 6,Electronics,2023-02-11,Screen damage in transit,Drop at Store,25499.15,Cash on Delivery,Rejected,4,Dissatisfied
RET50025,SN2300404,CUST10727,PRD1078,Adidas Aeroready Training Tights,Sports,2023-02-12,Size issue,Courier Self-Send,2799,Credit Card,Processed,7,Very Dissatisfied
RET50026,SN2300437,CUST10408,PRD1001,Samsung Galaxy A54 5G,Electronics,2023-02-26,Battery issue,Courier Self-Send,24649.15,Cash on Delivery,Processed,4,Satisfied
RET50027,SN2300454,CUST10786,PRD1071,SUGAR Matte Attack Transferproof Lipstick,Beauty,2023-02-23,Changed mind,Pickup from Home,1708.1,UPI,Processed,4,Dissatisfied
RET50028,SN2300469,CUST10780,PRD1042,Fossil Gen 6 Hybrid Smartwatch,Fashion,2023-02-21,Fabric quality poor,Pickup from Home,25191,UPI,Processed,5,Dissatisfied
RET50029,SN2300485,CUST10686,PRD1029,Peter England Casual Polo T-Shirt,Fashion,2023-03-03,Fabric quality poor,Pickup from Home,1039.2,Net Banking,Rejected,6,Neutral
RET50030,SN2300499,CUST10490,PRD1074,Cosco Treadmill CTM-101,Sports,2023-02-23,Wrong item,Pickup from Home,25499.15,Credit Card,Processed,4,Neutral
RET50031,SN2300503,CUST10778,PRD1022,Samsung Galaxy Watch 6,Electronics,2023-02-27,Defective product,Courier Self-Send,85497.15,EMI,Pending,4,Very Dissatisfied
RET50032,SN2300523,CUST10572,PRD1011,Acer Aspire Lite AMD Ryzen 5,Electronics,2023-03-09,Not as described,Drop at Store,44999,Net Banking,Processed,2,Dissatisfied
RET50033,SN2300548,CUST10708,PRD1080,Wildcraft Camping Tent 2-Person,Sports,2023-03-06,Size issue,Pickup from Home,12998,UPI,Pending,2,Very Dissatisfied
RET50034,SN2300549,CUST10563,PRD1069,Lakme Absolute Mousse Foundation,Beauty,2023-03-07,Wrong variant,Courier Self-Send,719.1,EMI,Processed,6,Dissatisfied
RET50035,SN2300558,CUST10208,PRD1044,Wildcraft 35L Hiking Backpack,Fashion,2023-03-11,Fabric quality poor,Drop at Store,2249.1,Cash on Delivery,Processed,3,Very Dissatisfied
RET50036,SN2300564,CUST10493,PRD1055,Spaces 300TC Cotton King Bedsheet,Home & Kitchen,2023-03-12,Damaged packaging,Courier Self-Send,2249.1,EMI,Processed,7,Dissatisfied
RET50037,SN2300587,CUST10735,PRD1058,Ivyspace Artificial Plant Set of 3,Home & Kitchen,2023-03-09,Changed mind,Drop at Store,1998,Debit Card,Processed,7,Neutral
RET50038,SN2300601,CUST10518,PRD1013,Apple iPad 10th Gen 64GB,Electronics,2023-03-13,Wrong model delivered,Pickup from Home,52999,Wallet,Pending,7,Neutral
RET50039,SN2300611,CUST10507,PRD1027,Allen Solly Formal Shirt,Fashion,2023-03-11,Changed mind,Pickup from Home,6476.4,Debit Card,Processed,3,Neutral
RET50040,SN2300656,CUST10548,PRD1003,OnePlus Nord CE 3 Lite,Electronics,2023-03-16,Screen damage in transit,Courier Self-Send,56997.15,EMI,Processed,5,Dissatisfied
RET50041,SN2300664,CUST10058,PRD1028,Van Heusen Slim Fit Chinos,Fashion,2023-03-13,Fabric quality poor,Drop at Store,2499,Cash on Delivery,Processed,3,Neutral
RET50042,SN2300667,CUST10508,PRD1055,Spaces 300TC Cotton King Bedsheet,Home & Kitchen,2023-03-20,Product defective,Pickup from Home,2249.1,Credit Card,Processed,7,Neutral
RET50043,SN2300673,CUST10703,PRD1043,Titan Raga Women's Watch,Fashion,2023-03-16,Wrong colour delivered,Drop at Store,5699.05,UPI,Processed,6,Dissatisfied
RET50044,SN2300678,CUST10103,PRD1057,Craftter Wooden Wall Clock,Home & Kitchen,2023-03-15,Changed mind,Courier Self-Send,3312.45,Credit Card,Processed,7,Dissatisfied
RET50045,SN2300679,CUST10478,PRD1077,Nike Dri-FIT Training Shorts,Sports,2023-03-20,Build quality poor,Pickup from Home,1899.05,Net Banking,Processed,7,Neutral
RET50046,SN2300686,CUST10583,PRD1070,Maybelline Fit Me Matte Foundation,Beauty,2023-03-23,Seal broken,Courier Self-Send,699,Credit Card,Processed,3,Dissatisfied
RET50047,SN2300715,CUST10564,PRD1013,Apple iPad 10th Gen 64GB,Electronics,2023-03-24,Battery issue,Drop at Store,151047.15,Debit Card,Processed,6,Neutral
RET50048,SN2300736,CUST10042,PRD1035,Zara Flowy Midi Dress,Fashion,2023-03-19,Style not as shown,Courier Self-Send,3799.05,Credit Card,Processed,3,Neutral
RET50049,SN2300747,CUST10204,PRD1083,Ikigai – Francesc Miralles,Books,2023-04-01,Damaged spine,Courier Self-Send,359.1,UPI,Pending,5,Dissatisfied
RET50050,SN2300750,CUST10404,PRD1060,Pepperfry Solid Wood Study Table,Home & Kitchen,2023-03-24,Product defective,Courier Self-Send,33147.45,Wallet,Processed,6,Satisfied
RET50051,SN2300776,CUST10097,PRD1048,Philips HL7756 750W Mixer,Home & Kitchen,2023-04-01,Wrong item,Pickup from Home,17495,EMI,Processed,7,Neutral
RET50052,SN2300791,CUST10079,PRD1015,boAt Rockerz 450 Bluetooth,Electronics,2023-03-29,Not as described,Drop at Store,1999,Debit Card,Rejected,3,Neutral
RET50053,SN2300792,CUST10485,PRD1018,boAt Airdopes 141 TWS,Electronics,2023-03-30,Wrong model delivered,Drop at Store,5196,Cash on Delivery,Pending,3,Neutral
RET50054,SN2300797,CUST10041,PRD1059,Nilkamal Esteem Bookshelf,Home & Kitchen,2023-03-30,Damaged packaging,Courier Self-Send,5999.25,Debit Card,Processed,4,Satisfied
RET50055,SN2300814,CUST10345,PRD1077,Nike Dri-FIT Training Shorts,Sports,2023-04-05,Build quality poor,Drop at Store,5997,UPI,Processed,2,Neutral
RET50056,SN2300817,CUST10772,PRD1045,American Tourister Trolley Bag 68cm,Fashion,2023-03-29,Wrong colour delivered,Drop at Store,6649.05,Credit Card,Processed,4,Dissatisfied
RET50057,SN2300818,CUST10723,PRD1036,H&M Ribbed Jersey Dress,Fashion,2023-03-30,Wrong colour delivered,Pickup from Home,1709.05,Credit Card,Processed,7,Dissatisfied
RET50058,SN2300819,CUST10253,PRD1030,H&M Regular Fit Linen Shirt,Fashion,2023-04-03,Changed mind,Drop at Store,1709.05,Cash on Delivery,Processed,3,Satisfied
RET50059,SN2300856,CUST10351,PRD1046,Lavie Women Tote Handbag,Fashion,2023-04-09,Fabric quality poor,Drop at Store,1799,Credit Card,Pending,1,Neutral
RET50060,SN2300861,CUST10185,PRD1079,Decathlon Quechua 10L Hiking Daypack,Sports,2023-04-09,Changed mind,Drop at Store,1499,UPI,Pending,7,Neutral
RET50061,SN2300881,CUST10468,PRD1063,Minimalist 10% Niacinamide Serum 30ml,Beauty,2023-04-10,Allergic reaction,Pickup from Home,2376.6,UPI,Pending,6,Neutral
RET50062,SN2300904,CUST10036,PRD1070,Maybelline Fit Me Matte Foundation,Beauty,2023-04-08,Allergic reaction,Courier Self-Send,664.05,Credit Card,Processed,1,Neutral
RET50063,SN2300921,CUST10589,PRD1041,Skechers GOwalk 6 Slip-On,Fashion,2023-04-10,Changed mind,Courier Self-Send,13497.3,Debit Card,Processed,3,Neutral
RET50064,SN2300932,CUST10264,PRD1083,Ikigai – Francesc Miralles,Books,2023-04-07,Damaged spine,Courier Self-Send,897.75,Cash on Delivery,Processed,1,Neutral
RET50065,SN2300938,CUST10510,PRD1044,Wildcraft 35L Hiking Backpack,Fashion,2023-04-06,Style not as shown,Courier Self-Send,2124.15,Debit Card,Processed,1,Dissatisfied
RET50066,SN2300943,CUST10748,PRD1021,boAt Wave Flex Connect,Electronics,2023-04-13,Screen damage in transit,Courier Self-Send,7996,EMI,Processed,7,Dissatisfied
RET50067,SN2300953,CUST10566,PRD1078,Adidas Aeroready Training Tights,Sports,2023-04-10,Build quality poor,Courier Self-Send,2239.2,Cash on Delivery,Pending,4,Satisfied
RET50068,SN2300955,CUST10261,PRD1075,Kore Pvc 30kg Weight Set,Sports,2023-04-08,Defective product,Pickup from Home,2974.15,UPI,Processed,7,Satisfied
RET50069,SN2300967,CUST10289,PRD1028,Van Heusen Slim Fit Chinos,Fashion,2023-04-18,Fabric quality poor,Drop at Store,2249.1,Credit Card,Processed,4,Satisfied
RET50070,SN2300975,CUST10544,PRD1080,Wildcraft Camping Tent 2-Person,Sports,2023-04-19,Defective product,Pickup from Home,5849.1,Cash on Delivery,Processed,7,Dissatisfied
RET50071,SN2301000,CUST10634,PRD1056,Bombay Dyeing Microfibre Comforter,Home & Kitchen,2023-04-13,Poor build quality,Drop at Store,6398.4,UPI,Processed,4,Satisfied
RET50072,SN2301005,CUST10253,PRD1022,Samsung Galaxy Watch 6,Electronics,2023-04-14,Not as described,Courier Self-Send,89997,Net Banking,Processed,5,Neutral
RET50073,SN2301006,CUST10390,PRD1016,Sony WH-1000XM5 Wireless,Electronics,2023-04-15,Wrong model delivered,Drop at Store,60798.1,UPI,Processed,5,Neutral
RET50074,SN2301007,CUST10189,PRD1075,Kore Pvc 30kg Weight Set,Sports,2023-04-23,Build quality poor,Drop at Store,2974.15,UPI,Processed,7,Satisfied
RET50075,SN2301028,CUST10787,PRD1065,Cetaphil Moisturising Cream 250g,Beauty,2023-04-23,Changed mind,Pickup from Home,664.05,Credit Card,Processed,7,Neutral
RET50076,SN2301034,CUST10519,PRD1059,Nilkamal Esteem Bookshelf,Home & Kitchen,2023-04-23,Damaged packaging,Drop at Store,30396.2,EMI,Processed,7,Satisfied
RET50077,SN2301059,CUST10224,PRD1055,Spaces 300TC Cotton King Bedsheet,Home & Kitchen,2023-04-27,Damaged packaging,Courier Self-Send,2499,Credit Card,Processed,6,Very Dissatisfied
RET50078,SN2301078,CUST10264,PRD1049,Bajaj Majesty 2L Induction Cooktop,Home & Kitchen,2023-04-19,Wrong item,Courier Self-Send,8412.45,UPI,Processed,7,Dissatisfied
RET50079,SN2301081,CUST10387,PRD1038,Puma Softride Enzo NXT Sneaker,Fashion,2023-04-29,Size/fit issue,Drop at Store,7198.4,UPI,Processed,5,Neutral
RET50080,SN2301083,CUST10144,PRD1083,Ikigai – Francesc Miralles,Books,2023-04-26,Pages missing,Courier Self-Send,279.3,UPI,Pending,7,Dissatisfied
RET50081,SN2301089,CUST10291,PRD1009,Lenovo IdeaPad Slim 3 15,Electronics,2023-05-02,Screen damage in transit,Courier Self-Send,49999,EMI,Processed,6,Dissatisfied
RET50082,SN2301097,CUST10149,PRD1034,Aurelia Embroidered Salwar Suit,Fashion,2023-04-26,Style not as shown,Pickup from Home,5798,Credit Card,Processed,1,Very Dissatisfied
RET50083,SN2301110,CUST10131,PRD1076,Durafit Spark Cycle 21kg Flywheel,Sports,2023-04-24,Wrong item,Pickup from Home,27999,Debit Card,Processed,2,Neutral
RET50084,SN2301113,CUST10632,PRD1014,Lenovo Tab M10 FHD Plus,Electronics,2023-05-01,Not as described,Drop at Store,17999,EMI,Processed,6,Satisfied
RET50085,SN2301116,CUST10204,PRD1069,Lakme Absolute Mousse Foundation,Beauty,2023-04-30,Fake/counterfeit suspected,Pickup from Home,2397,UPI,Processed,1,Satisfied
RET50086,SN2301132,CUST10726,PRD1059,Nilkamal Esteem Bookshelf,Home & Kitchen,2023-05-01,Wrong item,Courier Self-Send,6799.15,UPI,Processed,6,Dissatisfied
RET50087,SN2301140,CUST10289,PRD1063,Minimalist 10% Niacinamide Serum 30ml,Beauty,2023-05-02,Changed mind,Pickup from Home,629.1,UPI,Processed,2,Neutral
RET50088,SN2301145,CUST10493,PRD1031,Puma Dry-Cell Training T-Shirt,Fashion,2023-04-26,Fabric quality poor,Pickup from Home,3198,UPI,Processed,6,Neutral
RET50089,SN2301158,CUST10392,PRD1034,Aurelia Embroidered Salwar Suit,Fashion,2023-05-07,Wrong colour delivered,Pickup from Home,2464.15,Debit Card,Processed,2,Neutral
RET50090,SN2301171,CUST10642,PRD1077,Nike Dri-FIT Training Shorts,Sports,2023-04-29,Wrong item,Courier Self-Send,4497.75,Credit Card,Processed,7,Very Dissatisfied
RET50091,SN2301176,CUST10117,PRD1023,Fitbit Charge 6,Electronics,2023-05-09,Battery issue,Drop at Store,37998,Cash on Delivery,Processed,7,Neutral
RET50092,SN2301178,CUST10137,PRD1041,Skechers GOwalk 6 Slip-On,Fashion,2023-05-04,Fabric quality poor,Drop at Store,7998.4,Wallet,Processed,4,Very Dissatisfied
RET50093,SN2301183,CUST10499,PRD1047,Prestige Iris 750W Mixer Grinder,Home & Kitchen,2023-05-05,Poor build quality,Courier Self-Send,7998,Wallet,Processed,4,Very Dissatisfied
RET50094,SN2301211,CUST10687,PRD1052,Hawkins Futura Non-Stick Wok 25cm,Home & Kitchen,2023-05-05,Product defective,Pickup from Home,3418.1,Debit Card,Processed,2,Dissatisfied
RET50095,SN2301226,CUST10439,PRD1063,Minimalist 10% Niacinamide Serum 30ml,Beauty,2023-05-08,Seal broken,Pickup from Home,664.05,Credit Card,Processed,7,Satisfied
RET50096,SN2301232,CUST10294,PRD1015,boAt Rockerz 450 Bluetooth,Electronics,2023-05-07,Screen damage in transit,Drop at Store,1999,Net Banking,Processed,6,Neutral
RET50097,SN2301237,CUST10193,PRD1037,Nike Air Max 270 Running Shoes,Fashion,2023-05-05,Style not as shown,Courier Self-Send,9499.05,Debit Card,Processed,2,Dissatisfied
RET50098,SN2301251,CUST10337,PRD1006,Realme 12 Pro+ 5G,Electronics,2023-05-14,Defective product,Pickup from Home,79797.15,Cash on Delivery,Rejected,3,Very Dissatisfied
RET50099,SN2301256,CUST10603,PRD1036,H&M Ribbed Jersey Dress,Fashion,2023-05-08,Fabric quality poor,Drop at Store,3598,UPI,Processed,7,Very Dissatisfied
RET50100,SN2301277,CUST10628,PRD1005,Vivo V29 Pro 5G,Electronics,2023-05-14,Not as described,Courier Self-Send,33299.1,EMI,Processed,5,Neutral
RET50101,SN2301285,CUST10712,PRD1032,BIBA Floral Printed Kurta,Fashion,2023-05-10,Style not as shown,Pickup from Home,3418.2,Debit Card,Processed,1,Satisfied
RET50102,SN2301290,CUST10005,PRD1023,Fitbit Charge 6,Electronics,2023-05-16,Screen damage in transit,Pickup from Home,13299.3,Cash on Delivery,Processed,1,Dissatisfied
RET50103,SN2301298,CUST10177,PRD1014,Lenovo Tab M10 FHD Plus,Electronics,2023-05-19,Not as described,Pickup from Home,48597.3,EMI,Processed,7,Satisfied
RET50104,SN2301300,CUST10139,PRD1002,Apple iPhone 14 128GB,Electronics,2023-05-15,Battery issue,Pickup from Home,59999.25,UPI,Processed,4,Neutral
RET50105,SN2301304,CUST10785,PRD1034,Aurelia Embroidered Salwar Suit,Fashion,2023-05-12,Changed mind,Pickup from Home,2319.2,EMI,Processed,1,Very Dissatisfied
RET50106,SN2301360,CUST10107,PRD1047,Prestige Iris 750W Mixer Grinder,Home & Kitchen,2023-05-22,Damaged packaging,Pickup from Home,3799.05,Credit Card,Processed,5,Satisfied
RET50107,SN2301376,CUST10104,PRD1046,Lavie Women Tote Handbag,Fashion,2023-05-23,Changed mind,Courier Self-Send,1709.05,UPI,Processed,4,Neutral
RET50108,SN2301378,CUST10405,PRD1080,Wildcraft Camping Tent 2-Person,Sports,2023-05-19,Changed mind,Drop at Store,6499,EMI,Processed,5,Neutral
RET50109,SN2301390,CUST10642,PRD1010,Asus VivoBook 16X OLED,Electronics,2023-05-20,Battery issue,Drop at Store,64999,Credit Card,Pending,1,Dissatisfied
RET50110,SN2301417,CUST10135,PRD1019,Noise Buds VS104 TWS,Electronics,2023-05-21,Screen damage in transit,Pickup from Home,5196,UPI,Processed,6,Neutral
RET50111,SN2301426,CUST10191,PRD1048,Philips HL7756 750W Mixer,Home & Kitchen,2023-05-26,Product defective,Courier Self-Send,13296.2,Credit Card,Processed,4,Very Dissatisfied
RET50112,SN2301430,CUST10456,PRD1085,Disha UPSC Prelims 20 Years Papers,Books,2023-05-19,Changed mind,Drop at Store,509.15,Credit Card,Processed,2,Satisfied
RET50113,SN2301439,CUST10396,PRD1015,boAt Rockerz 450 Bluetooth,Electronics,2023-05-25,Screen damage in transit,Courier Self-Send,1899.05,UPI,Processed,4,Very Dissatisfied
RET50114,SN2301471,CUST10374,PRD1032,BIBA Floral Printed Kurta,Fashion,2023-05-22,Changed mind,Drop at Store,1899,Debit Card,Processed,3,Satisfied
RET50115,SN2301473,CUST10005,PRD1061,Mamaearth Vitamin C Face Wash 100ml,Beauty,2023-05-29,Changed mind,Pickup from Home,379.05,UPI,Processed,3,Very Dissatisfied
RET50116,SN2301490,CUST10355,PRD1024,Canon EOS 1500D DSLR Kit,Electronics,2023-05-31,Battery issue,Drop at Store,44999,Cash on Delivery,Processed,2,Dissatisfied
RET50117,SN2301500,CUST10758,PRD1020,Noise ColorFit Pro 4,Electronics,2023-05-31,Battery issue,Drop at Store,5398.2,Debit Card,Processed,2,Neutral
RET50118,SN2301526,CUST10340,PRD1027,Allen Solly Formal Shirt,Fashion,2023-05-23,Fabric quality poor,Pickup from Home,1349.25,Cash on Delivery,Processed,6,Dissatisfied
RET50119,SN2301580,CUST10415,PRD1005,Vivo V29 Pro 5G,Electronics,2023-05-30,Not as described,Courier Self-Send,33299.1,Debit Card,Pending,2,Neutral
RET50120,SN2301581,CUST10289,PRD1052,Hawkins Futura Non-Stick Wok 25cm,Home & Kitchen,2023-06-04,Wrong item,Drop at Store,1799,Cash on Delivery,Rejected,5,Neutral
RET50121,SN2301582,CUST10269,PRD1083,Ikigai – Francesc Miralles,Books,2023-06-03,Wrong title,Courier Self-Send,359.1,UPI,Processed,5,Dissatisfied
RET50122,SN2301584,CUST10455,PRD1066,Mamaearth Onion Hair Oil 150ml,Beauty,2023-06-01,Allergic reaction,Courier Self-Send,1279.65,Cash on Delivery,Processed,2,Neutral
RET50123,SN2301597,CUST10107,PRD1064,Plum Green Tea Pore Cleansing Face Wash,Beauty,2023-06-01,Allergic reaction,Courier Self-Send,1272.45,Cash on Delivery,Processed,3,Dissatisfied
RET50124,SN2301600,CUST10045,PRD1031,Puma Dry-Cell Training T-Shirt,Fashion,2023-06-06,Size/fit issue,Drop at Store,4077.45,UPI,Processed,2,Satisfied
RET50125,SN2301606,CUST10098,PRD1033,W Ethnic Wear Kurta Set,Fashion,2023-06-07,Wrong colour delivered,Drop at Store,2299,Credit Card,Processed,4,Dissatisfied
RET50126,SN2301611,CUST10007,PRD1014,Lenovo Tab M10 FHD Plus,Electronics,2023-06-05,Not as described,Drop at Store,16199.1,Cash on Delivery,Processed,2,Very Dissatisfied
RET50127,SN2301617,CUST10572,PRD1045,American Tourister Trolley Bag 68cm,Fashion,2023-06-06,Changed mind,Pickup from Home,5949.15,UPI,Processed,1,Neutral
RET50128,SN2301626,CUST10151,PRD1064,Plum Green Tea Pore Cleansing Face Wash,Beauty,2023-06-04,Wrong variant,Drop at Store,449.1,Credit Card,Processed,6,Neutral
RET50129,SN2301638,CUST10322,PRD1034,Aurelia Embroidered Salwar Suit,Fashion,2023-06-06,Wrong colour delivered,Courier Self-Send,2754.05,Cash on Delivery,Processed,5,Satisfied
RET50130,SN2301641,CUST10284,PRD1060,Pepperfry Solid Wood Study Table,Home & Kitchen,2023-06-08,Wrong item,Courier Self-Send,12349.05,UPI,Processed,1,Neutral
RET50131,SN2301650,CUST10693,PRD1019,Noise Buds VS104 TWS,Electronics,2023-06-11,Wrong model delivered,Pickup from Home,1169.1,Cash on Delivery,Pending,4,Very Dissatisfied
RET50132,SN2301651,CUST10766,PRD1044,Wildcraft 35L Hiking Backpack,Fashion,2023-06-02,Fabric quality poor,Pickup from Home,2499,Wallet,Processed,1,Very Dissatisfied
RET50133,SN2301659,CUST10560,PRD1007,HP Pavilion 15 Core i5 8GB,Electronics,2023-06-15,Wrong model delivered,Courier Self-Send,44249.25,UPI,Processed,3,Dissatisfied
RET50134,SN2301670,CUST10116,PRD1044,Wildcraft 35L Hiking Backpack,Fashion,2023-06-01,Style not as shown,Pickup from Home,11245.5,Debit Card,Processed,1,Dissatisfied
RET50135,SN2301719,CUST10773,PRD1027,Allen Solly Formal Shirt,Fashion,2023-06-15,Changed mind,Drop at Store,7196,Credit Card,Processed,2,Dissatisfied
RET50136,SN2301723,CUST10579,PRD1082,The Alchemist – Paulo Coelho,Books,2023-06-05,Wrong title,Pickup from Home,350,UPI,Processed,6,Dissatisfied
RET50137,SN2301735,CUST10216,PRD1014,Lenovo Tab M10 FHD Plus,Electronics,2023-06-16,Battery issue,Courier Self-Send,16199.1,UPI,Processed,7,Neutral
RET50138,SN2301748,CUST10540,PRD1086,Arihant CAT 2024 Solved Papers,Books,2023-06-16,Wrong title,Courier Self-Send,1298,UPI,Processed,2,Satisfied
RET50139,SN2301749,CUST10647,PRD1014,Lenovo Tab M10 FHD Plus,Electronics,2023-06-13,Screen damage in transit,Drop at Store,34198.1,Cash on Delivery,Processed,6,Satisfied
RET50140,SN2301758,CUST10742,PRD1084,Deep Work – Cal Newport,Books,2023-06-15,Changed mind,Pickup from Home,1198,UPI,Processed,1,Neutral
RET50141,SN2301764,CUST10294,PRD1056,Bombay Dyeing Microfibre Comforter,Home & Kitchen,2023-06-17,Product defective,Drop at Store,3999,EMI,Processed,3,Neutral
RET50142,SN2301772,CUST10144,PRD1069,Lakme Absolute Mousse Foundation,Beauty,2023-06-15,Wrong variant,Pickup from Home,679.15,Net Banking,Processed,1,Satisfied
RET50143,SN2301781,CUST10497,PRD1044,Wildcraft 35L Hiking Backpack,Fashion,2023-06-11,Fabric quality poor,Courier Self-Send,6372.45,Credit Card,Processed,1,Dissatisfied
RET50144,SN2301794,CUST10684,PRD1045,American Tourister Trolley Bag 68cm,Fashion,2023-06-13,Changed mind,Pickup from Home,17847.45,Credit Card,Processed,7,Neutral
RET50145,SN2301795,CUST10336,PRD1039,Adidas Ultraboost 22 Shoes,Fashion,2023-06-17,Style not as shown,Courier Self-Send,13299.05,Credit Card,Processed,3,Neutral
RET50146,SN2301798,CUST10736,PRD1010,Asus VivoBook 16X OLED,Electronics,2023-06-19,Battery issue,Drop at Store,61749.05,Credit Card,Processed,1,Dissatisfied
RET50147,SN2301820,CUST10651,PRD1085,Disha UPSC Prelims 20 Years Papers,Books,2023-06-19,Damaged spine,Courier Self-Send,1078.2,UPI,Processed,1,Neutral
RET50148,SN2301837,CUST10602,PRD1010,Asus VivoBook 16X OLED,Electronics,2023-06-23,Not as described,Pickup from Home,58499.1,Credit Card,Processed,4,Neutral
RET50149,SN2301845,CUST10744,PRD1054,Wonderchef Ebony Non-Stick Tawa 30cm,Home & Kitchen,2023-06-23,Damaged packaging,Drop at Store,1424.05,Net Banking,Processed,6,Dissatisfied
RET50150,SN2301846,CUST10146,PRD1031,Puma Dry-Cell Training T-Shirt,Fashion,2023-06-22,Wrong colour delivered,Drop at Store,3038.1,EMI,Processed,3,Neutral
RET50151,SN2301847,CUST10595,PRD1082,The Alchemist – Paulo Coelho,Books,2023-06-25,Changed mind,Pickup from Home,665,Debit Card,Processed,7,Dissatisfied
