Order_ID,Order_Date,Order_Time,Day_of_Week,Week_Number,Month,Month_Num,Quarter,Year,Customer_ID,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price_INR,Gross_Amount_INR,Discount_Pct,Discount_Amount_INR,Coupon_Code,Net_Amount_INR,GST_Pct,GST_Amount_INR,Final_Amount_INR,Payment_Method,Order_Status,Order_Channel,Shipping_Days,Delivery_Date,Is_Repeat_Customer
SN2300014,2023-01-02,13:42,Monday,1,January,1,Q1,2023,CUST10036,PRD1057,Craftter Wooden Wall Clock,Home & Kitchen,Decor,Craftter,1,1299,1299,0,0,,1299,5,61.86,1299,Wallet,Delivered,Mobile App,2,2023-01-04,Yes
SN2300015,2023-01-02,17:03,Monday,1,January,1,Q1,2023,CUST10623,PRD1045,American Tourister Trolley Bag 68cm,Fashion,Bags,American Tourister,3,6999,20997,15,3149.55,,17847.45,12,1912.23,17847.45,Cash on Delivery,Delivered,Website,3,2023-01-05,No
SN2300016,2023-01-02,11:28,Monday,1,January,1,Q1,2023,CUST10180,PRD1064,Plum Green Tea Pore Cleansing Face Wash,Beauty,Skincare,Plum,4,499,1996,10,199.6,,1796.4,28,392.96,1796.4,UPI,Delivered,Website,6,2023-01-08,Yes
SN2300017,2023-01-02,11:21,Monday,1,January,1,Q1,2023,CUST10427,PRD1033,W Ethnic Wear Kurta Set,Fashion,Women's Clothing,W,4,2299,9196,5,459.8,,8736.2,12,936.02,8736.2,Debit Card,Delivered,Mobile App,2,2023-01-04,Yes
SN2300018,2023-01-02,22:41,Monday,1,January,1,Q1,2023,CUST10517,PRD1022,Samsung Galaxy Watch 6,Electronics,Smartwatches,Samsung,1,29999,29999,10,2999.9,,26999.1,12,2892.76,26999.1,Cash on Delivery,Delivered,Social Commerce,3,2023-01-05,Yes
SN2300019,2023-01-02,01:03,Monday,1,January,1,Q1,2023,CUST10627,PRD1062,Dot & Key Watermelon Sleeping Mask 85g,Beauty,Skincare,Dot & Key,1,899,899,15,134.85,,764.15,12,81.87,764.15,UPI,Delivered,Mobile App,2,2023-01-04,No
SN2300020,2023-01-02,23:51,Monday,1,January,1,Q1,2023,CUST10142,PRD1075,Kore Pvc 30kg Weight Set,Sports,Fitness Equipment,Kore,1,3499,3499,0,0,,3499,5,166.62,3499,EMI,Delivered,Social Commerce,2,2023-01-04,No
SN2300021,2023-01-02,09:31,Monday,1,January,1,Q1,2023,CUST10472,PRD1065,Cetaphil Moisturising Cream 250g,Beauty,Skincare,Cetaphil,4,699,2796,10,279.6,,2516.4,28,550.46,2516.4,UPI,Delivered,Mobile App,2,2023-01-04,No
SN2300022,2023-01-02,07:47,Monday,1,January,1,Q1,2023,CUST10172,PRD1048,Philips HL7756 750W Mixer,Home & Kitchen,Kitchen Appliances,Philips,1,3499,3499,5,174.95,,3324.05,5,158.29,3324.05,Debit Card,Delivered,Mobile App,3,2023-01-05,Yes
SN2300023,2023-01-02,07:54,Monday,1,January,1,Q1,2023,CUST10407,PRD1078,Adidas Aeroready Training Tights,Sports,Sportswear,Adidas,2,2799,5598,0,0,,5598,12,599.79,5598,EMI,Delivered,Mobile App,4,2023-01-06,No
SN2300024,2023-01-03,03:24,Tuesday,1,January,1,Q1,2023,CUST10779,PRD1038,Puma Softride Enzo NXT Sneaker,Fashion,Footwear,Puma,1,4499,4499,20,899.8,SAVE20,3599.2,5,171.39,3599.2,Debit Card,Cancelled,Mobile App,0,,No
SN2300025,2023-01-03,14:06,Tuesday,1,January,1,Q1,2023,CUST10351,PRD1070,Maybelline Fit Me Matte Foundation,Beauty,Makeup,Maybelline,1,699,699,5,34.95,,664.05,18,101.3,664.05,EMI,Delivered,Social Commerce,5,2023-01-08,Yes
SN2300026,2023-01-03,03:31,Tuesday,1,January,1,Q1,2023,CUST10247,PRD1002,Apple iPhone 14 128GB,Electronics,Smartphones,Apple,5,79999,399995,30,119998.5,DIWALI30,279996.5,12,29999.62,279996.5,Cash on Delivery,Delivered,Website,6,2023-01-09,No
SN2300027,2023-01-03,22:20,Tuesday,1,January,1,Q1,2023,CUST10062,PRD1039,Adidas Ultraboost 22 Shoes,Fashion,Footwear,Adidas,1,13999,13999,5,699.95,,13299.05,12,1424.9,13299.05,Debit Card,Delivered,Mobile App,3,2023-01-06,Yes
SN2300028,2023-01-03,07:56,Tuesday,1,January,1,Q1,2023,CUST10226,PRD1003,OnePlus Nord CE 3 Lite,Electronics,Smartphones,OnePlus,1,19999,19999,20,3999.8,FLASH40,15999.2,28,3499.83,15999.2,Credit Card,Delivered,Mobile App,5,2023-01-08,No
SN2300029,2023-01-03,17:40,Tuesday,1,January,1,Q1,2023,CUST10222,PRD1018,boAt Airdopes 141 TWS,Electronics,Earphones,boAt,3,1299,3897,20,779.4,FLASH40,3117.6,28,681.98,3117.6,Debit Card,Delivered,Mobile App,5,2023-01-08,No
SN2300030,2023-01-03,20:40,Tuesday,1,January,1,Q1,2023,CUST10268,PRD1036,H&M Ribbed Jersey Dress,Fashion,Women's Clothing,H&M,1,1799,1799,0,0,,1799,28,393.53,1799,Wallet,Out for Delivery,Mobile App,1,,Yes
SN2300031,2023-01-03,01:14,Tuesday,1,January,1,Q1,2023,CUST10241,PRD1043,Titan Raga Women's Watch,Fashion,Accessories,Titan,3,5999,17997,10,1799.7,,16197.3,5,771.3,16197.3,Credit Card,Delivered,Mobile App,4,2023-01-07,No
SN2300032,2023-01-03,16:55,Tuesday,1,January,1,Q1,2023,CUST10392,PRD1052,Hawkins Futura Non-Stick Wok 25cm,Home & Kitchen,Cookware,Hawkins,2,1799,3598,10,359.8,,3238.2,12,346.95,3238.2,Debit Card,Delivered,Social Commerce,3,2023-01-06,Yes
SN2300033,2023-01-03,09:24,Tuesday,1,January,1,Q1,2023,CUST10510,PRD1023,Fitbit Charge 6,Electronics,Smartwatches,Fitbit,1,18999,18999,15,2849.85,,16149.15,5,769.01,16149.15,UPI,Delivered,Website,5,2023-01-08,No
SN2300034,2023-01-04,09:16,Wednesday,1,January,1,Q1,2023,CUST10288,PRD1062,Dot & Key Watermelon Sleeping Mask 85g,Beauty,Skincare,Dot & Key,3,899,2697,20,539.4,FLASH40,2157.6,12,231.17,2157.6,Cash on Delivery,Delivered,Mobile App,1,2023-01-05,Yes
SN2300035,2023-01-04,21:44,Wednesday,1,January,1,Q1,2023,CUST10169,PRD1034,Aurelia Embroidered Salwar Suit,Fashion,Women's Clothing,Aurelia,2,2899,5798,0,0,,5798,12,621.21,5798,UPI,Delivered,Mobile App,3,2023-01-07,Yes
SN2300036,2023-01-04,19:35,Wednesday,1,January,1,Q1,2023,CUST10772,PRD1059,Nilkamal Esteem Bookshelf,Home & Kitchen,Furniture,Nilkamal,1,7999,7999,10,799.9,,7199.1,28,1574.8,7199.1,Debit Card,Delivered,Mobile App,3,2023-01-07,Yes
SN2300037,2023-01-04,07:48,Wednesday,1,January,1,Q1,2023,CUST10464,PRD1038,Puma Softride Enzo NXT Sneaker,Fashion,Footwear,Puma,1,4499,4499,15,674.85,,3824.15,5,182.1,3824.15,UPI,Delivered,Website,2,2023-01-06,No
SN2300038,2023-01-04,14:08,Wednesday,1,January,1,Q1,2023,CUST10590,PRD1064,Plum Green Tea Pore Cleansing Face Wash,Beauty,Skincare,Plum,1,499,499,10,49.9,,449.1,28,98.24,449.1,Cash on Delivery,Delivered,Mobile App,2,2023-01-06,No
SN2300039,2023-01-04,18:00,Wednesday,1,January,1,Q1,2023,CUST10580,PRD1061,Mamaearth Vitamin C Face Wash 100ml,Beauty,Skincare,Mamaearth,1,399,399,15,59.85,,339.15,5,16.15,339.15,UPI,Cancelled,Mobile App,0,,Yes
SN2300040,2023-01-04,16:06,Wednesday,1,January,1,Q1,2023,CUST10669,PRD1057,Craftter Wooden Wall Clock,Home & Kitchen,Decor,Craftter,1,1299,1299,5,64.95,,1234.05,5,58.76,1234.05,Credit Card,Delivered,Mobile App,5,2023-01-09,Yes
SN2300041,2023-01-04,08:57,Wednesday,1,January,1,Q1,2023,CUST10117,PRD1071,SUGAR Matte Attack Transferproof Lipstick,Beauty,Makeup,SUGAR,3,899,2697,15,404.55,,2292.45,28,501.47,2292.45,UPI,Delivered,Mobile App,7,2023-01-11,No
SN2300042,2023-01-04,23:49,Wednesday,1,January,1,Q1,2023,CUST10470,PRD1048,Philips HL7756 750W Mixer,Home & Kitchen,Kitchen Appliances,Philips,1,3499,3499,10,349.9,,3149.1,5,149.96,3149.1,Cash on Delivery,Delivered,Website,6,2023-01-10,Yes
SN2300043,2023-01-04,21:25,Wednesday,1,January,1,Q1,2023,CUST10531,PRD1043,Titan Raga Women's Watch,Fashion,Accessories,Titan,2,5999,11998,10,1199.8,,10798.2,5,514.2,10798.2,UPI,Delivered,Website,4,2023-01-08,Yes
SN2300044,2023-01-05,02:18,Thursday,1,January,1,Q1,2023,CUST10543,PRD1018,boAt Airdopes 141 TWS,Electronics,Earphones,boAt,2,1299,2598,15,389.7,,2208.3,28,483.07,2208.3,Wallet,Returned,Mobile App,5,2023-01-10,Yes
SN2300045,2023-01-05,12:26,Thursday,1,January,1,Q1,2023,CUST10539,PRD1085,Disha UPSC Prelims 20 Years Papers,Books,Educational,Disha,1,599,599,5,29.95,,569.05,18,86.8,569.05,Credit Card,Delivered,Mobile App,2,2023-01-07,Yes
SN2300046,2023-01-05,10:07,Thursday,1,January,1,Q1,2023,CUST10240,PRD1028,Van Heusen Slim Fit Chinos,Fashion,Men's Clothing,Van Heusen,4,2499,9996,0,0,,9996,5,476,9996,Cash on Delivery,Delivered,Website,2,2023-01-07,No
SN2300047,2023-01-05,01:14,Thursday,1,January,1,Q1,2023,CUST10777,PRD1071,SUGAR Matte Attack Transferproof Lipstick,Beauty,Makeup,SUGAR,1,899,899,0,0,,899,28,196.66,899,UPI,Delivered,Website,6,2023-01-11,No
SN2300048,2023-01-05,09:13,Thursday,1,January,1,Q1,2023,CUST10750,PRD1031,Puma Dry-Cell Training T-Shirt,Fashion,Men's Clothing,Puma,1,1599,1599,0,0,,1599,12,171.32,1599,Debit Card,Delivered,Website,3,2023-01-08,Yes
SN2300049,2023-01-05,14:34,Thursday,1,January,1,Q1,2023,CUST10690,PRD1080,Wildcraft Camping Tent 2-Person,Sports,Outdoor Gear,Wildcraft,1,6499,6499,0,0,,6499,5,309.48,6499,Debit Card,Delivered,Mobile App,2,2023-01-07,Yes
SN2300050,2023-01-05,15:23,Thursday,1,January,1,Q1,2023,CUST10678,PRD1076,Durafit Spark Cycle 21kg Flywheel,Sports,Fitness Equipment,Durafit,1,27999,27999,0,0,,27999,28,6124.78,27999,UPI,Delivered,Mobile App,1,2023-01-06,No
SN2300051,2023-01-05,20:54,Thursday,1,January,1,Q1,2023,CUST10664,PRD1083,Ikigai – Francesc Miralles,Books,Non-Fiction,Penguin,2,399,798,15,119.7,,678.3,28,148.38,678.3,Credit Card,Delivered,Website,4,2023-01-09,No
SN2300052,2023-01-05,07:22,Thursday,1,January,1,Q1,2023,CUST10544,PRD1050,Havells Fresco 800W OTG 19L,Home & Kitchen,Kitchen Appliances,Havells,1,4999,4999,20,999.8,BIGSALE,3999.2,18,610.05,3999.2,Cash on Delivery,Delivered,Website,3,2023-01-08,No
SN2300053,2023-01-05,23:58,Thursday,1,January,1,Q1,2023,CUST10473,PRD1050,Havells Fresco 800W OTG 19L,Home & Kitchen,Kitchen Appliances,Havells,1,4999,4999,5,249.95,,4749.05,18,724.43,4749.05,Debit Card,Delivered,Website,1,2023-01-06,Yes
SN2300054,2023-01-06,06:49,Friday,1,January,1,Q1,2023,CUST10077,PRD1021,boAt Wave Flex Connect,Electronics,Smartwatches,boAt,3,1999,5997,0,0,,5997,5,285.57,5997,Debit Card,Delivered,Website,7,2023-01-13,No
SN2300055,2023-01-06,13:45,Friday,1,January,1,Q1,2023,CUST10447,PRD1040,Bata Men's Formal Derby Shoes,Fashion,Footwear,Bata,1,2799,2799,10,279.9,,2519.1,12,269.9,2519.1,Debit Card,Delivered,Website,3,2023-01-09,No
SN2300056,2023-01-06,15:44,Friday,1,January,1,Q1,2023,CUST10161,PRD1072,Fogg Scent Xpressio EDP 100ml,Beauty,Fragrances,Fogg,1,799,799,10,79.9,,719.1,12,77.05,719.1,Debit Card,Delivered,Mobile App,1,2023-01-07,Yes
SN2300057,2023-01-06,09:05,Friday,1,January,1,Q1,2023,CUST10736,PRD1033,W Ethnic Wear Kurta Set,Fashion,Women's Clothing,W,1,2299,2299,0,0,,2299,12,246.32,2299,EMI,Cancelled,Mobile App,0,,Yes
SN2300058,2023-01-06,20:00,Friday,1,January,1,Q1,2023,CUST10688,PRD1035,Zara Flowy Midi Dress,Fashion,Women's Clothing,Zara,1,3999,3999,5,199.95,,3799.05,5,180.91,3799.05,Credit Card,Cancelled,Social Commerce,0,,No
SN2300059,2023-01-06,16:11,Friday,1,January,1,Q1,2023,CUST10125,PRD1042,Fossil Gen 6 Hybrid Smartwatch,Fashion,Accessories,Fossil,1,13995,13995,5,699.75,,13295.25,28,2908.34,13295.25,UPI,Delivered,Website,5,2023-01-11,No
SN2300060,2023-01-06,01:22,Friday,1,January,1,Q1,2023,CUST10209,PRD1082,The Alchemist – Paulo Coelho,Books,Fiction,HarperCollins,1,350,350,15,52.5,,297.5,18,45.38,297.5,UPI,Delivered,Social Commerce,4,2023-01-10,Yes
SN2300061,2023-01-06,21:22,Friday,1,January,1,Q1,2023,CUST10777,PRD1031,Puma Dry-Cell Training T-Shirt,Fashion,Men's Clothing,Puma,1,1599,1599,10,159.9,,1439.1,12,154.19,1439.1,Net Banking,Delivered,Mobile App,3,2023-01-09,Yes
SN2300062,2023-01-06,22:14,Friday,1,January,1,Q1,2023,CUST10726,PRD1038,Puma Softride Enzo NXT Sneaker,Fashion,Footwear,Puma,3,4499,13497,0,0,,13497,5,642.71,13497,Credit Card,Delivered,Mobile App,1,2023-01-07,Yes
SN2300063,2023-01-06,06:55,Friday,1,January,1,Q1,2023,CUST10722,PRD1086,Arihant CAT 2024 Solved Papers,Books,Educational,Arihant,1,649,649,0,0,,649,5,30.9,649,Cash on Delivery,Delivered,Mobile App,3,2023-01-09,No
SN2300064,2023-01-07,19:20,Saturday,1,January,1,Q1,2023,CUST10679,PRD1063,Minimalist 10% Niacinamide Serum 30ml,Beauty,Skincare,Minimalist,1,699,699,0,0,,699,12,74.89,699,UPI,Delivered,Mobile App,3,2023-01-10,Yes
SN2300065,2023-01-07,07:16,Saturday,1,January,1,Q1,2023,CUST10309,PRD1070,Maybelline Fit Me Matte Foundation,Beauty,Makeup,Maybelline,2,699,1398,0,0,,1398,18,213.25,1398,Credit Card,Pending,Website,0,,No
SN2300066,2023-01-07,18:39,Saturday,1,January,1,Q1,2023,CUST10665,PRD1074,Cosco Treadmill CTM-101,Sports,Fitness Equipment,Cosco,3,29999,89997,5,4499.85,,85497.15,28,18702.5,85497.15,Net Banking,Cancelled,Website,0,,No
SN2300067,2023-01-07,10:34,Saturday,1,January,1,Q1,2023,CUST10058,PRD1058,Ivyspace Artificial Plant Set of 3,Home & Kitchen,Decor,Ivyspace,2,999,1998,0,0,,1998,12,214.07,1998,Credit Card,Delivered,Mobile App,2,2023-01-09,Yes
SN2300068,2023-01-07,11:02,Saturday,1,January,1,Q1,2023,CUST10561,PRD1056,Bombay Dyeing Microfibre Comforter,Home & Kitchen,Bedding,Bombay Dyeing,3,3999,11997,15,1799.55,,10197.45,12,1092.58,10197.45,EMI,Delivered,Mobile App,4,2023-01-11,Yes
SN2300069,2023-01-07,20:13,Saturday,1,January,1,Q1,2023,CUST10661,PRD1015,boAt Rockerz 450 Bluetooth,Electronics,Earphones,boAt,4,1999,7996,0,0,,7996,12,856.71,7996,Credit Card,Pending,Website,0,,No
SN2300070,2023-01-07,22:35,Saturday,1,January,1,Q1,2023,CUST10693,PRD1044,Wildcraft 35L Hiking Backpack,Fashion,Bags,Wildcraft,1,2499,2499,20,499.8,SAVE20,1999.2,5,95.2,1999.2,UPI,Delivered,Website,3,2023-01-10,No
SN2300071,2023-01-07,00:58,Saturday,1,January,1,Q1,2023,CUST10519,PRD1075,Kore Pvc 30kg Weight Set,Sports,Fitness Equipment,Kore,2,3499,6998,10,699.8,,6298.2,5,299.91,6298.2,Debit Card,Delivered,Mobile App,1,2023-01-08,Yes
SN2300072,2023-01-07,17:09,Saturday,1,January,1,Q1,2023,CUST10582,PRD1012,Samsung Galaxy Tab A8 LTE,Electronics,Tablets,Samsung,1,24999,24999,5,1249.95,,23749.05,28,5195.1,23749.05,UPI,Delivered,Mobile App,6,2023-01-13,Yes
SN2300073,2023-01-07,02:31,Saturday,1,January,1,Q1,2023,CUST10499,PRD1078,Adidas Aeroready Training Tights,Sports,Sportswear,Adidas,2,2799,5598,5,279.9,,5318.1,12,569.8,5318.1,EMI,Delivered,Website,3,2023-01-10,No
SN2300074,2023-01-07,23:29,Saturday,1,January,1,Q1,2023,CUST10473,PRD1067,Indulekha Bringha Hair Oil 100ml,Beauty,Haircare,Indulekha,1,599,599,20,119.8,FESTIVE20,479.2,5,22.82,479.2,UPI,Delivered,Mobile App,2,2023-01-09,Yes
SN2300075,2023-01-07,22:21,Saturday,1,January,1,Q1,2023,CUST10191,PRD1068,TRESemmé Keratin Smooth Shampoo 580ml,Beauty,Haircare,TRESemmé,4,699,2796,25,699,FLASH40,2097,18,319.88,2097,Net Banking,Delivered,Mobile App,3,2023-01-10,No
SN2300076,2023-01-07,08:04,Saturday,1,January,1,Q1,2023,CUST10242,PRD1043,Titan Raga Women's Watch,Fashion,Accessories,Titan,1,5999,5999,10,599.9,,5399.1,5,257.1,5399.1,Wallet,Delivered,Mobile App,5,2023-01-12,No
SN2300077,2023-01-08,19:23,Sunday,1,January,1,Q1,2023,CUST10307,PRD1006,Realme 12 Pro+ 5G,Electronics,Smartphones,Realme,1,27999,27999,25,6999.75,BIGSALE,20999.25,18,3203.28,20999.25,UPI,Cancelled,Social Commerce,0,,Yes
SN2300078,2023-01-08,20:20,Sunday,1,January,1,Q1,2023,CUST10502,PRD1074,Cosco Treadmill CTM-101,Sports,Fitness Equipment,Cosco,1,29999,29999,25,7499.75,FESTIVE20,22499.25,28,4921.71,22499.25,UPI,Delivered,Mobile App,1,2023-01-09,Yes
SN2300079,2023-01-08,18:22,Sunday,1,January,1,Q1,2023,CUST10494,PRD1068,TRESemmé Keratin Smooth Shampoo 580ml,Beauty,Haircare,TRESemmé,1,699,699,20,139.8,DIWALI30,559.2,18,85.3,559.2,UPI,Delivered,Website,3,2023-01-11,Yes
SN2300080,2023-01-08,12:56,Sunday,1,January,1,Q1,2023,CUST10750,PRD1064,Plum Green Tea Pore Cleansing Face Wash,Beauty,Skincare,Plum,1,499,499,25,124.75,FLASH40,374.25,28,81.87,374.25,UPI,Delivered,Mobile App,4,2023-01-12,Yes
SN2300081,2023-01-08,14:08,Sunday,1,January,1,Q1,2023,CUST10090,PRD1052,Hawkins Futura Non-Stick Wok 25cm,Home & Kitchen,Cookware,Hawkins,1,1799,1799,15,269.85,,1529.15,12,163.84,1529.15,Cash on Delivery,Delivered,Mobile App,4,2023-01-12,Yes
SN2300082,2023-01-08,08:48,Sunday,1,January,1,Q1,2023,CUST10021,PRD1058,Ivyspace Artificial Plant Set of 3,Home & Kitchen,Decor,Ivyspace,1,999,999,5,49.95,,949.05,12,101.68,949.05,Debit Card,Returned,Mobile App,1,2023-01-09,Yes
SN2300083,2023-01-08,11:42,Sunday,1,January,1,Q1,2023,CUST10360,PRD1049,Bajaj Majesty 2L Induction Cooktop,Home & Kitchen,Kitchen Appliances,Bajaj,1,3299,3299,15,494.85,,2804.15,28,613.41,2804.15,Debit Card,Delivered,Website,3,2023-01-11,No
SN2300084,2023-01-08,01:15,Sunday,1,January,1,Q1,2023,CUST10089,PRD1020,Noise ColorFit Pro 4,Electronics,Smartwatches,Noise,2,2999,5998,20,1199.6,FLASH40,4798.4,18,731.96,4798.4,EMI,Delivered,Social Commerce,5,2023-01-13,No
SN2300085,2023-01-08,15:35,Sunday,1,January,1,Q1,2023,CUST10510,PRD1011,Acer Aspire Lite AMD Ryzen 5,Electronics,Laptops,Acer,1,44999,44999,10,4499.9,,40499.1,5,1928.53,40499.1,UPI,Delivered,Social Commerce,4,2023-01-12,Yes
SN2300086,2023-01-08,01:39,Sunday,1,January,1,Q1,2023,CUST10373,PRD1075,Kore Pvc 30kg Weight Set,Sports,Fitness Equipment,Kore,2,3499,6998,0,0,,6998,5,333.24,6998,Credit Card,Delivered,Mobile App,2,2023-01-10,No
SN2300087,2023-01-08,11:26,Sunday,1,January,1,Q1,2023,CUST10626,PRD1061,Mamaearth Vitamin C Face Wash 100ml,Beauty,Skincare,Mamaearth,2,399,798,10,79.8,,718.2,5,34.2,718.2,Credit Card,Delivered,Website,2,2023-01-10,Yes
SN2300088,2023-01-08,16:10,Sunday,1,January,1,Q1,2023,CUST10771,PRD1035,Zara Flowy Midi Dress,Fashion,Women's Clothing,Zara,1,3999,3999,15,599.85,,3399.15,5,161.86,3399.15,EMI,Delivered,Mobile App,2,2023-01-10,Yes
SN2300089,2023-01-08,13:27,Sunday,1,January,1,Q1,2023,CUST10326,PRD1076,Durafit Spark Cycle 21kg Flywheel,Sports,Fitness Equipment,Durafit,1,27999,27999,15,4199.85,,23799.15,28,5206.06,23799.15,Credit Card,Delivered,Social Commerce,2,2023-01-10,Yes
SN2300090,2023-01-09,15:54,Monday,2,January,1,Q1,2023,CUST10166,PRD1008,Dell Inspiron 15 Core i7,Electronics,Laptops,Dell,4,74999,299996,5,14999.8,,284996.2,28,62342.92,284996.2,Credit Card,Delivered,Mobile App,3,2023-01-12,No
SN2300091,2023-01-09,15:41,Monday,2,January,1,Q1,2023,CUST10362,PRD1066,Mamaearth Onion Hair Oil 150ml,Beauty,Haircare,Mamaearth,3,449,1347,20,269.4,FESTIVE20,1077.6,12,115.46,1077.6,UPI,Delivered,Mobile App,2,2023-01-11,Yes
SN2300092,2023-01-09,05:03,Monday,2,January,1,Q1,2023,CUST10677,PRD1027,Allen Solly Formal Shirt,Fashion,Men's Clothing,Allen Solly,3,1799,5397,15,809.55,,4587.45,5,218.45,4587.45,Debit Card,Delivered,Mobile App,3,2023-01-12,Yes
SN2300093,2023-01-09,01:15,Monday,2,January,1,Q1,2023,CUST10392,PRD1069,Lakme Absolute Mousse Foundation,Beauty,Makeup,Lakme,2,799,1598,20,319.6,SAVE20,1278.4,18,195.01,1278.4,Credit Card,Delivered,Website,2,2023-01-11,No
SN2300094,2023-01-09,16:03,Monday,2,January,1,Q1,2023,CUST10687,PRD1049,Bajaj Majesty 2L Induction Cooktop,Home & Kitchen,Kitchen Appliances,Bajaj,2,3299,6598,10,659.8,,5938.2,28,1298.98,5938.2,Credit Card,Delivered,Mobile App,3,2023-01-12,No
SN2300095,2023-01-09,15:35,Monday,2,January,1,Q1,2023,CUST10652,PRD1017,JBL Tune 760NC Headphone,Electronics,Earphones,JBL,1,7999,7999,0,0,,7999,12,857.04,7999,Debit Card,Delivered,Mobile App,4,2023-01-13,Yes
SN2300096,2023-01-09,23:22,Monday,2,January,1,Q1,2023,CUST10214,PRD1073,Wild Stone Gold EDT 50ml,Beauty,Fragrances,Wild Stone,1,599,599,0,0,,599,28,131.03,599,EMI,Delivered,Social Commerce,4,2023-01-13,Yes
SN2300097,2023-01-09,09:52,Monday,2,January,1,Q1,2023,CUST10424,PRD1055,Spaces 300TC Cotton King Bedsheet,Home & Kitchen,Bedding,Spaces,1,2499,2499,5,124.95,,2374.05,28,519.32,2374.05,Credit Card,Delivered,Mobile App,3,2023-01-12,No
