Campaign_ID,Month,Month_Num,Quarter,Year,Channel,Budget_INR,Amount_Spent_INR,Budget_Utilisation_Pct,Impressions,Clicks,CTR_Pct,Conversions,Conversion_Rate_Pct,Revenue_Generated_INR,ROAS,CPC_INR,CAC_INR,New_Customers_Acquired,Returning_Customers
CMP0022,March,3,Q1,2023,Facebook Ads,98698,92039,93.3,48312,2130,4.41,50,2.38,180633.49,1.96,43.21,1840.78,15,15
CMP0023,March,3,Q1,2023,YouTube Ads,128397,123528,96.2,385334,6242,1.62,206,3.31,309010.97,2.5,19.79,599.65,124,64
CMP0024,March,3,Q1,2023,Influencer Marketing,63735,57317,89.9,638460,31220,4.89,2928,9.38,10195245.36,177.87,1.84,19.58,1236,1090
CMP0025,March,3,Q1,2023,Email Campaign,78894,69581,88.2,179520,25599,14.26,801,3.13,2745623.1,39.46,2.72,86.87,462,272
CMP0026,March,3,Q1,2023,SMS Campaign,136017,132108,97.1,587117,47439,8.08,953,2.01,2620725.72,19.84,2.78,138.62,410,613
CMP0027,March,3,Q1,2023,App Push Notification,135913,121332,89.3,780524,60334,7.73,1882,3.12,5133041.97,42.31,2.01,64.47,758,570
CMP0028,April,4,Q2,2023,Google Search Ads,136428,125517,92,735757,85568,11.63,5484,6.41,11777142.14,93.83,1.47,22.89,3230,3747
CMP0029,April,4,Q2,2023,Google Display Ads,106057,103826,97.9,287193,8500,2.96,215,2.54,258435.73,2.49,12.21,482.91,68,89
CMP0030,April,4,Q2,2023,Instagram Ads,48641,45667,93.9,473565,12360,2.61,826,6.69,793688.72,17.38,3.69,55.29,451,352
CMP0031,April,4,Q2,2023,Facebook Ads,148080,137924,93.1,734020,32517,4.43,692,2.13,3090391.07,22.41,4.24,199.31,277,244
CMP0032,April,4,Q2,2023,YouTube Ads,48613,46709,96.1,288850,3061,1.06,87,2.87,308674.81,6.61,15.26,536.89,48,29
CMP0033,April,4,Q2,2023,Influencer Marketing,41590,36669,88.2,129571,8797,6.79,820,9.33,3148856.62,85.87,4.17,44.72,460,265
CMP0034,April,4,Q2,2023,Email Campaign,35162,31016,88.2,435721,104965,24.09,6770,6.45,8526293.54,274.9,0.3,4.58,2949,2706
CMP0035,April,4,Q2,2023,SMS Campaign,31206,27569,88.3,469299,58427,12.45,3236,5.54,7722402.91,280.11,0.47,8.52,1487,1829
CMP0036,April,4,Q2,2023,App Push Notification,22868,20915,91.5,401778,26878,6.69,833,3.1,2193221.47,104.86,0.78,25.11,466,267
CMP0037,May,5,Q2,2023,Google Search Ads,105587,93714,88.8,567550,33315,5.87,2638,7.92,6767411.41,72.21,2.81,35.52,937,1832
CMP0038,May,5,Q2,2023,Google Display Ads,135633,135161,99.7,754252,19082,2.53,496,2.6,1811070.11,13.4,7.08,272.5,271,247
CMP0039,May,5,Q2,2023,Instagram Ads,123315,116792,94.7,128401,6882,5.36,258,3.75,882158.74,7.55,16.97,452.68,96,130
CMP0040,May,5,Q2,2023,Facebook Ads,35537,32291,90.9,641615,19376,3.02,306,1.58,678267.1,21,1.67,105.53,140,98
CMP0041,May,5,Q2,2023,YouTube Ads,46474,43925,94.5,174274,2544,1.46,50,1.98,55615,1.27,17.27,878.5,15,33
CMP0042,May,5,Q2,2023,Influencer Marketing,144686,138314,95.6,238745,11125,4.66,920,8.27,3843002.66,27.78,12.43,150.34,295,374
CMP0043,May,5,Q2,2023,Email Campaign,47356,43301,91.4,533600,68674,12.87,3426,4.99,9901771.96,228.67,0.63,12.64,1525,1294
CMP0044,May,5,Q2,2023,SMS Campaign,105505,96781,91.7,131222,11796,8.99,601,5.1,1409464.43,14.56,8.2,161.03,320,378
CMP0045,May,5,Q2,2023,App Push Notification,107376,101779,94.8,728835,102401,14.05,2365,2.31,5957835.75,58.54,0.99,43.04,1483,1105
CMP0046,June,6,Q2,2023,Google Search Ads,33920,31068,91.6,647347,32496,5.02,2840,8.74,2663020.94,85.72,0.96,10.94,1145,1191
CMP0047,June,6,Q2,2023,Google Display Ads,27873,26555,95.3,114622,2269,1.98,23,1.02,64942.76,2.45,11.7,1154.57,15,13
CMP0048,June,6,Q2,2023,Instagram Ads,51987,48585,93.5,760777,20540,2.7,774,3.77,2177329.17,44.81,2.37,62.77,372,470
CMP0049,June,6,Q2,2023,Facebook Ads,145596,129655,89.1,329949,6467,1.96,195,3.02,517947.69,3.99,20.05,664.9,101,105
CMP0050,June,6,Q2,2023,YouTube Ads,82244,78457,95.4,132898,2232,1.68,66,2.96,288763.05,3.68,35.15,1188.74,20,32
CMP0051,June,6,Q2,2023,Influencer Marketing,106131,95184,89.7,749377,34171,4.56,1694,4.96,6203877.43,65.18,2.79,56.19,571,841
CMP0052,June,6,Q2,2023,Email Campaign,100481,93176,92.7,624830,75229,12.04,3723,4.95,7758719.51,83.27,1.24,25.03,1273,2101
CMP0053,June,6,Q2,2023,SMS Campaign,67948,62178,91.5,143108,12450,8.7,267,2.15,571829.33,9.2,4.99,232.88,81,175
CMP0054,June,6,Q2,2023,App Push Notification,27906,25673,92,422785,34710,8.21,1825,5.26,4133279.68,161,0.74,14.07,1125,872
CMP0055,July,7,Q3,2023,Google Search Ads,182328,161543,88.6,418365,36690,8.77,3698,10.08,10359276.2,64.13,4.4,43.68,1222,1952
CMP0056,July,7,Q3,2023,Google Display Ads,170254,169894,99.8,567647,16575,2.92,268,1.62,1020747.55,6.01,10.25,633.93,125,176
CMP0057,July,7,Q3,2023,Instagram Ads,66990,65588,97.9,97330,4282,4.4,291,6.8,279982.83,4.27,15.32,225.39,153,97
CMP0058,July,7,Q3,2023,Facebook Ads,34625,34408,99.4,125178,5044,4.03,252,5,251044.84,7.3,6.82,136.54,165,123
CMP0059,July,7,Q3,2023,YouTube Ads,87772,83552,95.2,459984,4645,1.01,148,3.2,454489.64,5.44,17.99,564.54,47,99
CMP0060,July,7,Q3,2023,Influencer Marketing,141326,139525,98.7,739866,42838,5.79,4163,9.72,12561791.16,90.03,3.26,33.52,1369,1972
CMP0061,July,7,Q3,2023,Email Campaign,103935,101902,98,145752,31088,21.33,1946,6.26,7641594.51,74.99,3.28,52.36,1288,1112
CMP0062,July,7,Q3,2023,SMS Campaign,98303,89019,90.6,495246,66263,13.38,2544,3.84,3865168.21,43.42,1.34,34.99,1588,1726
CMP0063,July,7,Q3,2023,App Push Notification,139309,123397,88.6,699849,58717,8.39,1826,3.11,4254968.14,34.48,2.1,67.58,849,1255
CMP0064,August,8,Q3,2023,Google Search Ads,204829,193787,94.6,587880,36037,6.13,4259,11.82,9829038.99,50.72,5.38,45.5,2111,2512
CMP0065,August,8,Q3,2023,Google Display Ads,53485,49256,92.1,459086,8676,1.89,266,3.07,340999.57,6.92,5.68,185.17,117,105
CMP0066,August,8,Q3,2023,Instagram Ads,225462,203263,90.2,780525,22323,2.86,598,2.68,1329037.39,6.54,9.11,339.9,343,378
CMP0067,August,8,Q3,2023,Facebook Ads,121878,119878,98.4,598599,16281,2.72,805,4.95,3023710.88,25.22,7.36,148.92,463,317
CMP0068,August,8,Q3,2023,YouTube Ads,245924,236612,96.2,90542,1412,1.56,48,3.41,111449.37,0.47,167.57,4929.42,30,28
CMP0069,August,8,Q3,2023,Influencer Marketing,77104,71151,92.3,543569,28102,5.17,1149,4.09,3154878.02,44.34,2.53,61.92,513,689
CMP0070,August,8,Q3,2023,Email Campaign,191206,174474,91.2,160946,19490,12.11,1309,6.72,2823868.08,16.19,8.95,133.29,495,479
CMP0071,August,8,Q3,2023,SMS Campaign,172589,171257,99.2,152560,23723,15.55,1266,5.34,4101406.3,23.95,7.22,135.27,450,406
CMP0072,August,8,Q3,2023,App Push Notification,120705,108970,90.3,121068,6331,5.23,190,3.01,544543.31,5,17.21,573.53,100,79
CMP0073,September,9,Q3,2023,Google Search Ads,122999,118501,96.3,220244,21561,9.79,1371,6.36,3903059.82,32.94,5.5,86.43,679,623
CMP0074,September,9,Q3,2023,Google Display Ads,113207,107468,94.9,703931,12459,1.77,346,2.78,372342.02,3.46,8.63,310.6,159,204
CMP0075,September,9,Q3,2023,Instagram Ads,130524,119591,91.6,518617,26605,5.13,678,2.55,984537.41,8.23,4.5,176.39,457,371
CMP0076,September,9,Q3,2023,Facebook Ads,141669,128411,90.6,459717,16733,3.64,460,2.75,1257223.38,9.79,7.67,279.15,306,303
CMP0077,September,9,Q3,2023,YouTube Ads,40957,39322,96,205934,1688,0.82,51,3.07,206991.26,5.26,23.3,771.02,22,33
CMP0078,September,9,Q3,2023,Influencer Marketing,180038,179326,99.6,435035,26058,5.99,1412,5.42,2622328.99,14.62,6.88,127,507,904
CMP0079,September,9,Q3,2023,Email Campaign,75873,72653,95.8,750634,109217,14.55,5744,5.26,19921229.27,274.2,0.67,12.65,2733,2249
CMP0080,September,9,Q3,2023,SMS Campaign,164802,152975,92.8,691123,69319,10.03,2044,2.95,4641842.83,30.34,2.21,74.84,730,982
CMP0081,September,9,Q3,2023,App Push Notification,168713,160724,95.3,143634,9867,6.87,507,5.14,1377722.3,8.57,16.29,317.01,206,197
CMP0082,October,10,Q4,2023,Google Search Ads,197453,191246,96.9,276054,31304,11.34,2288,7.31,5487844.47,28.7,6.11,83.59,928,1404
CMP0083,October,10,Q4,2023,Google Display Ads,306640,283166,92.3,526212,14839,2.82,590,3.98,1810359.69,6.39,19.08,479.94,230,195
CMP0084,October,10,Q4,2023,Instagram Ads,171821,163616,95.2,289433,9869,3.41,359,3.64,1005017.32,6.14,16.58,455.75,231,187
CMP0085,October,10,Q4,2023,Facebook Ads,243085,215562,88.7,69083,3433,4.97,58,1.69,250073.54,1.16,62.79,3716.59,37,24
CMP0086,October,10,Q4,2023,YouTube Ads,262732,247986,94.4,115755,1562,1.35,47,3.06,89781.2,0.36,158.76,5276.3,16,27
CMP0087,October,10,Q4,2023,Influencer Marketing,165663,152793,92.2,101625,3363,3.31,227,6.76,998385.92,6.53,45.43,673.1,79,120
CMP0088,October,10,Q4,2023,Email Campaign,149725,133486,89.2,360927,43816,12.14,1480,3.38,2580559.86,19.33,3.05,90.19,953,1016
CMP0089,October,10,Q4,2023,SMS Campaign,237370,232902,98.1,706385,114293,16.18,4297,3.76,18141506.37,77.89,2.04,54.2,1813,2799
CMP0090,October,10,Q4,2023,App Push Notification,133274,125653,94.3,553032,80134,14.49,3670,4.58,8039284.15,63.98,1.57,34.24,2252,2196
CMP0091,November,11,Q4,2023,Google Search Ads,160476,158145,98.5,498747,55061,11.04,2439,4.43,10060245.31,63.61,2.87,64.84,1688,1282
CMP0092,November,11,Q4,2023,Google Display Ads,266947,235623,88.3,604249,16133,2.67,246,1.53,622940.74,2.64,14.61,957.82,165,84
CMP0093,November,11,Q4,2023,Instagram Ads,360331,318561,88.4,255310,12178,4.77,249,2.05,779708.97,2.45,26.16,1279.36,90,146
CMP0094,November,11,Q4,2023,Facebook Ads,339520,303655,89.4,456301,22404,4.91,777,3.47,1102373.65,3.63,13.55,390.8,542,518
CMP0095,November,11,Q4,2023,YouTube Ads,109234,96603,88.4,620059,6882,1.11,172,2.5,269868.1,2.79,14.04,561.65,56,99
CMP0096,November,11,Q4,2023,Influencer Marketing,124663,114272,91.7,633118,32542,5.14,1207,3.71,4829099.35,42.26,3.51,94.67,516,718
CMP0097,November,11,Q4,2023,Email Campaign,415438,409439,98.6,208033,25837,12.42,1508,5.84,2776929.99,6.78,15.85,271.51,859,859
CMP0098,November,11,Q4,2023,SMS Campaign,222125,208784,94,670042,86703,12.94,2375,2.74,3405046.74,16.31,2.41,87.91,1578,1246
CMP0099,November,11,Q4,2023,App Push Notification,338899,338286,99.8,793747,97234,12.25,5970,6.14,18223339.44,53.87,3.48,56.66,3174,2480
CMP0100,December,12,Q4,2023,Google Search Ads,209060,201024,96.2,363303,38219,10.52,2667,6.98,4048204.68,20.14,5.26,75.37,1717,1681
CMP0101,December,12,Q4,2023,Google Display Ads,164182,145380,88.5,734374,13071,1.78,166,1.27,598475.76,4.12,11.12,875.78,74,107
CMP0102,December,12,Q4,2023,Instagram Ads,109220,98772,90.4,177613,8827,4.97,252,2.86,923083.68,9.35,11.19,391.95,159,143
CMP0103,December,12,Q4,2023,Facebook Ads,102751,91364,88.9,725343,29811,4.11,1785,5.99,1758174.7,19.24,3.06,51.18,884,799
CMP0104,December,12,Q4,2023,YouTube Ads,127005,122965,96.8,159918,2414,1.51,73,3.03,227969.31,1.85,50.94,1684.45,41,24
CMP0105,December,12,Q4,2023,Influencer Marketing,266520,240540,90.3,510932,23247,4.55,1578,6.79,3200659.97,13.31,10.35,152.43,1037,686
CMP0106,December,12,Q4,2023,Email Campaign,125647,118387,94.2,780572,188508,24.15,6145,3.26,25252517.4,213.3,0.63,19.27,3576,2610
CMP0107,December,12,Q4,2023,SMS Campaign,187864,168274,89.6,444853,43906,9.87,948,2.16,2185287.17,12.99,3.83,177.5,415,609
CMP0108,December,12,Q4,2023,App Push Notification,94321,90449,95.9,575279,54766,9.52,1489,2.72,4343403.7,48.02,1.65,60.74,855,730
